URL,Title,Date
https://en.wikipedia.org/wiki/1973_Thai_popular_uprising,"1973 Thai popular uprising",2025-02-24
https://en.wikipedia.org/wiki/6_October_1976_massacre,"6 October 1976 massacre",2025-04-15
https://en.wikipedia.org/wiki/Black_May_(1992),"Black May (1992)",2025-01-29
https://en.wikipedia.org/wiki/2006_Thai_coup_d%27%C3%A9tat,"2006 Thai coup d'état",2025-03-04
https://en.wikipedia.org/wiki/2010_Thai_political_protests,"2010 Thai political protests",2025-04-08
https://en.wikipedia.org/wiki/2014_Thai_coup_d%27%C3%A9tat,"2014 Thai coup d'état",2025-02-18
https://en.wikipedia.org/wiki/2020%E2%80%932021_Thai_protests,"2020–2021 Thai protests",2025-04-08
